,min,max,mean,med,std,label
0,-269.63384782820606,-102.31725905125383,-160.6517219240825,-124.4365449534384,68.01349103632259,
1,-284.6322666611695,-74.2468220443567,-147.57849406416523,-102.221562025015,85.50546874671896,
2,-613.3100717530856,143.92093786485117,-119.97829216490851,43.5115879950875,307.7939975437138,
3,-342.14812168627196,-305.53270400826233,-318.3135889616227,-310.3929404713191,14.8764862562233,
4,-243.3178725169482,-206.5523494085509,-219.3784008360182,-211.47972361372933,14.937425881414352,
5,-389.9400530417745,8.322473320101608,-130.46617845291712,-44.27574223899429,161.907090327284,
6,-273.7631170043409,-153.20616867654948,-195.21663193395588,-169.41346945166597,48.97994184685029,
7,-351.73383577981065,-52.899640007727726,-157.03804389100037,-93.16812964142878,121.39755162611219,
8,-264.8555727097394,-162.58554684811864,-198.2239333780269,-176.61801851037117,41.51806399005223,
9,-325.24765858263015,-84.63381027217417,-168.52550564374235,-117.22107519080109,97.72219824440819,
10,-299.0994064349987,-151.52205120196683,-202.99186289903895,-170.52847006226702,60.03990754634252,
11,-323.0474367303613,-80.96820123434858,-165.3714390525927,-113.81769296568187,98.31174067737065,
12,-361.2358265042213,-92.73015856978247,-186.30816250494146,-127.49960306713024,109.22761683310755,
13,-281.47537239047944,-150.1633381574478,-195.9248346714632,-167.4438361518396,53.38843685852416,
14,-197.6230120740802,-150.23520302046387,-166.7639240752947,-156.8980695861689,19.220254554580322,
15,-288.77792879042624,-37.07516854028503,-124.85343391982015,-70.90364393934777,102.25622131908537,
16,-485.26235651976964,21.399828654156615,-155.1832058079058,-44.68150189795987,206.05787814710536,
17,-299.30729435991157,-214.56896885747005,-244.11413155015487,-225.81317150604525,34.44325827479658,
18,-274.2659554097422,-139.53584090224024,-186.5066408358237,-157.53172702865126,54.74865809606791,
19,-282.7481787625802,-94.38325379769971,-160.03705583296602,-119.33708146991076,76.56549103447824,
20,-293.19681142103667,-88.87522597642553,-160.09529846145398,-115.93460809681221,83.0516258487811,
21,-282.5639179811309,-98.16187723384229,-162.4354671052379,-122.64912679984164,74.94914673931342,
22,-317.61057109726664,-72.55730520052363,-158.0138614250058,-105.83518547249263,99.51678415402743,
23,-312.04373388576477,-125.40114758190379,-190.5245360455397,-149.45968772126363,75.97057350648257,
24,-241.98230349141477,-154.7243777478916,-185.1552595487956,-166.01301479596054,35.49707553449117,
25,-196.83462993346652,-115.26976331129944,-143.70459532569555,-126.36434309783745,33.12453649584465,
26,-254.4212749303146,-41.669511825966126,-115.82464153851507,-69.87006157940354,86.47606829161809,
27,-393.03337767719927,-16.27706127098082,-147.6918316980912,-67.48198597323385,152.995472854759,
28,-601.9640861847653,-28.659737343487162,-228.4759605103895,-102.82203931149978,233.22551362270914,
29,-332.8287904059595,-277.9015499860046,-313.7232642844494,-325.84172659587966,22.3641543509448,
30,-273.66480510454176,-144.92344923753816,-189.8210982121502,-162.38869037308734,52.284157441820874,
31,-245.92588308315578,-149.68367625262502,-183.22827863250092,-162.52660928255585,39.10512297829355,
32,-248.30727467428153,-94.99253342749157,-148.41960203725822,-115.24114605822393,62.32602755141929,
33,-365.79026941172043,-57.2518731829974,-164.7642985471864,-98.50175819936692,125.37399988153155,
34,-262.5763141959967,-154.6382787494807,-192.25514813061773,-169.17721964577146,43.85031749518739,
35,-470.091867005636,27.277123764138278,-146.03043499230793,-39.515405039886694,202.0738074964221,
36,-261.77290667925087,-256.1532618411073,-258.1376577281218,-257.0024376594245,2.295303900874756,
37,-253.56309610751356,-125.95163962729487,-170.4325950624205,-142.66018130277297,51.89205657873594,
38,-240.64311321605626,-96.17798989701421,-146.53873185769385,-115.48217253756974,58.704375607239406,
39,-588.9666238754392,97.80011101309763,-141.54951704491353,4.697482753016961,278.9231607207348,
40,-428.05334519959257,-248.48451835395417,-311.0577758149199,-271.7261191821732,73.15323689461661,
41,-259.6733887015568,-242.26412550470675,-248.33869761998295,-244.82308947791466,7.052808739678246,
42,-342.6641115547167,-68.87738939326651,-164.30267594105433,-106.10390562151086,111.18410912700345,
43,-232.9223151953917,-183.85047717664295,-200.96256552129773,-190.61855991391909,19.91521480366933,
44,-448.85285634134397,-54.21494060315018,-191.71282321166933,-105.03749388407624,160.5680954119172,
45,-274.320913221574,-187.98390124804678,-218.07974469141996,-199.62374584592746,35.0774933128031,
46,-299.079199906512,-53.748564711780745,-139.25922673420993,-85.79792847377043,99.77701090849388,
47,-253.3940111051355,-103.08872396319744,-155.47444465106736,-123.13618864936161,61.08156694640026,
48,-334.69714223448284,-2.859028370550188,-118.49176477184754,-46.2362186725988,134.9557829432704,
49,-263.7548556296593,-113.4274579684608,-165.8303136568862,-133.4643128238067,61.09155857075273,
50,-287.8519562866989,-71.40097269261511,-146.85761791713338,-99.47406803152063,88.04756642333852,
51,-256.9927363310263,-111.70048651764054,-162.36063400052208,-131.13527918175674,59.034928264136106,
52,-252.58921339996544,-123.99200562251636,-168.83702624636814,-140.73731710892238,52.296541013820566,
53,-223.5328053075853,-104.11458120265651,-145.75097361069686,-119.79437005543946,48.55598475065716,
54,-182.90196469474438,-102.19893345993546,-130.33859858034666,-113.03605036394907,32.788017371050856,
55,-233.3885541754638,-148.9564675194757,-178.42443185461502,-159.95516951127792,34.37802782482067,
56,-234.1608331204173,-93.58551904150858,-142.57957691385,-112.07554817693443,57.15528378756478,
57,-213.71241527417325,-90.48214203640245,-133.43448305341008,-106.9441129253551,50.07409996651414,
58,-601.0023220551033,164.81179192513844,-102.03148533062723,62.02837584835254,311.1453199316418,
59,-333.3558322285764,-291.7318356986988,-306.27961175593987,-297.5721171202432,17.03968620887275,
60,-246.30270035703802,-199.6830821158696,-215.95429576770812,-205.92228189817854,18.94293902815934,
61,-230.08361550951798,-112.29762819012461,-153.3583986467019,-128.00541475918536,47.86583170995293,
62,-179.12630327051534,-106.10193190640351,-131.55641644715914,-115.61261980303667,29.701118845149114,
63,-173.56941250535135,-68.34256528741273,-105.0170632997741,-82.3458152370409,42.7660688064238,
64,-357.11635544047857,28.957329310413463,-105.72058746269887,-23.639220701895415,156.76785398144273,
65,-510.8629240422405,-57.8732156318339,-215.75331967651334,-116.06005621535596,184.32276810790447,
66,-651.7202141261646,284.01156424879304,-42.08523793205258,160.55884775970566,380.4223307134205,
67,-340.77049126982973,-276.41664066504666,-318.37120961727675,-332.36886773924994,26.17800729159087,
68,-220.21260792181207,-175.16825105429817,-190.88730754026247,-180.98426571791074,18.325188418224627,
69,-206.30335047706134,-101.15534758117278,-137.8152106421308,-115.2836713238605,42.717539769205835,
70,-243.67272632882523,-50.15453453300795,-117.59751304025805,-75.74954587410559,78.66330242517823,
71,-643.7280419392404,197.3703482374767,-95.70549460550963,85.11349799289526,341.80781408482295,
72,-326.72428251973093,-317.3404649629004,-320.6677261652321,-318.934868556168,3.891247224360865,
73,-257.1974158946147,-190.49844158528552,-213.75369419088767,-199.3889858724944,27.107048722522794,
74,-216.93291595085608,-126.93074135742108,-158.3195949117037,-138.9500840305017,36.57222664368306,
75,-530.984547042307,107.76962489535484,-114.82029338605054,22.23904973495263,259.5426774109565,
