,min,max,mean,med,std,label
0,-341.1362278164487,-263.8245246189378,-290.8114775180015,-274.17649273122055,31.550814558237697,
1,-241.07808965560668,-172.60934111202377,-217.23937604108562,-232.09509318004265,27.841340013379813,
2,-143.86719496284113,-113.53301300684365,-124.11921780407951,-117.62450198940294,12.32127283547606,
3,-178.41809602649218,-42.93903692745562,-90.17515761033698,-60.998847219077234,55.05551457687021,
4,-751.1870891806432,318.3027578196525,-54.44658929094269,176.74115761304117,434.7386768497811,
5,-390.29922736278587,-345.10538319375763,-374.61219637915013,-383.5996109947421,18.308660186506074,
6,-244.917676217827,-223.47202039871414,-237.43598762608778,-242.13693353683564,8.73310992604515,
7,-165.00129707034176,-137.6101928041103,-147.1696914418472,-141.4097813693575,11.11700651705772,
8,-188.11493953199795,-58.81671254512288,-103.88965929453387,-76.0584849657487,52.54646746040387,
9,-742.6761557105142,307.9443937044661,-58.212967574648694,168.5459616093144,427.03762097686325,
10,-386.3012092704174,-348.8815658168608,-361.98842871182194,-354.2944893578533,15.349427505456351,
11,-139.9496235663393,-132.85529252050867,-135.3405349321054,-133.8611146243047,2.8763105955951187,
12,-597.8735698114674,224.01299143290527,-62.37010235439924,113.39518949013305,333.89826701092835,
13,-415.8042402515622,-207.30148495138985,-279.9903758921524,-234.2927796693205,84.9314323650934,
14,-260.66984731314864,-182.16979606338805,-233.34176551592006,-250.44501630961543,31.923392023861943,
15,-157.3998973438006,-109.65681615487212,-126.3261116292063,-116.4399891278153,19.35803958967792,
16,-623.287436575589,215.73359229011868,-76.68276745897546,105.57146979591094,341.15048374508206,
17,-374.0102304217952,-222.90639316155978,-321.4076648253958,-353.9677484505855,61.42437986745498,
18,-181.9228376917454,-145.87845611270268,-169.36936880993505,-177.10160818496223,14.645635891655889,
19,-528.4486079316226,156.786466109518,-81.99715150915438,64.28914305257179,278.3499988421377,
20,-376.61474552366485,-195.97194474779428,-258.93702033053614,-219.35274801177758,73.58401744806963,
21,-225.14114172514223,-193.7505885898882,-214.21556318031273,-220.98521213666032,12.758525640694026,
22,-329.7863086301936,-283.52474884929893,-313.7345885201793,-322.48792262830614,18.702416915988426,
23,-240.1882240835637,-128.03034267275032,-201.1099163720558,-225.39872392010165,45.59739699268252,
24,-125.20312464915959,-82.91568703318744,-97.65486335418524,-88.7050389851926,17.169026002796677,
25,-141.44027952998826,-39.069330689701275,-74.74943576115639,-52.62108565840082,41.61105149398388,
26,-746.5920670191945,343.732782463148,-36.203530328183476,197.59665796638734,443.0206656548015,
27,-447.61666954721335,-311.3344685641136,-358.877117371037,-329.5426132103754,55.62590188550306,
28,-327.3830625253655,-188.79879424181377,-279.10563639183243,-309.2469635193255,56.355447513375104,
29,-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,
30,-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.00983089711735,1.247674917081282,
31,-195.07950627744052,-154.52440969237645,-180.97224933523503,-189.87561970687622,16.522194628703122,
32,-200.04758039330284,-62.77606604339968,-110.68655659366149,-81.86488420415708,55.69891506138182,
33,-329.7863086301936,-283.52474884929893,-313.7345885201793,-322.48792262830614,18.702416915988426,
34,-240.1882240835637,-128.03034267275032,-201.1099163720558,-225.39872392010165,45.59739699268252,
35,-125.20312464915959,-82.91568703318744,-97.65486335418524,-88.7050389851926,17.169026002796677,
36,-141.44027952998826,-39.069330689701275,-74.74943576115639,-52.62108565840082,41.61105149398388,
37,-746.5920670191945,343.732782463148,-36.203530328183476,197.59665796638734,443.0206656548015,
38,-447.61666954721335,-311.3344685641136,-358.877117371037,-329.5426132103754,55.62590188550306,
39,-327.3830625253655,-188.79879424181377,-279.10563639183243,-309.2469635193255,56.355447513375104,
40,-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,
41,-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.00983089711735,1.247674917081282,
42,-195.07950627744052,-154.52440969237645,-180.97224933523503,-189.87561970687622,16.522194628703122,
43,-200.04758039330284,-62.77606604339968,-110.68655659366149,-81.86488420415708,55.69891506138182,
44,-318.37779649648,-23.790444084261296,-126.55354746917432,-64.55269423354022,119.55084363138147,
45,-558.1857717071614,29.150349264732313,-175.55016867044077,-47.0950855196035,238.9070681796222,
46,-344.97506394993695,-193.85689339367627,-292.3180756432489,-325.3876859145958,61.4723100595159,
47,-148.46151418883994,-144.72572575439574,-147.1785842603599,-147.88666365309467,1.5567220333781082,
48,-176.95416244086866,-48.49516189595346,-93.31295350012124,-65.94793656845522,52.16812255753969,
49,-727.2013622749545,262.381721844482,-82.48862461123998,132.02092647509633,402.3218034585671,
50,-426.8773163364718,-262.3892909273955,-369.56668360447105,-404.9519853661569,66.85251610338919,
51,-200.2853886549155,-169.71723901504828,-189.64231998680683,-196.25384294294386,12.425718391859332,
52,-157.56530900508207,-94.1567594778117,-116.2599177237779,-102.68458018583385,25.75926556551428,
53,-395.9723981146011,53.84746910324046,-102.99977846863172,-7.616078597803993,182.6343405081002,
54,-657.9453597422685,35.944099206302006,-205.8694438914309,-54.44303622156132,282.21603399015817,
55,-365.28593221662277,-202.03197589894768,-308.3901711159729,-344.1993091468386,66.41643233221234,
56,-172.32916251252897,-137.0227876152467,-160.04838935839507,-167.8309176402124,14.372628340478906,
57,-711.701364376671,310.19211269733995,-45.95239708930656,175.18464741574817,415.4229560360048,
58,-431.9764562173101,-218.02219021458836,-357.43695924664655,-403.3577021010271,86.94416246603541,
59,-188.58447979318194,-143.5584636533714,-172.9039310924337,-182.68903589877561,18.310053628698906,
