,min,max,mean,med,std,label
0,-293.5346285365234,-121.31457913624844,-181.33595451909298,-144.18400893747847,69.99532868331076,
1,-280.9491532871753,-106.40701091688447,-167.2567314380023,-129.67933153770423,70.93176750981456,
2,-291.42795550157587,-83.95950501770898,-156.27879847129327,-111.47603000702665,84.32883804107068,
3,-497.6202534456494,54.65175516558522,-137.80164130039597,-18.986175900481015,224.44053945354443,
4,-400.59940657952734,-173.3263892041999,-252.566134455769,-203.2121086968259,92.40256518427996,
5,-322.4387034206548,-194.6132487674219,-239.1678716944702,-211.57686603738125,51.9542218734002,
6,-347.90488936892575,-115.68260773764388,-196.5950343951061,-146.6982080340897,94.36498319410865,
7,-282.65038886053986,-140.80403204233892,-190.2540817277384,-159.66589286689268,57.65051283929918,
8,-280.8195441238023,-98.1186749617826,-161.8043923495778,-122.35038796255137,74.26152102877124,
9,-277.4044365258201,-93.21274948365246,-157.42760808891128,-117.50571109389458,74.88037981714932,
10,-278.3472327578902,-89.21000911092776,-155.12914858700185,-114.34304888870186,76.8716491120352,
11,-463.90760469952136,2.248718349671803,-160.21023509222638,-59.18678433226578,189.51636858154552,
12,-359.66669073272124,-170.89939441651376,-236.72141394044044,-195.87628965846645,76.73107458474367,
13,-322.1997264284056,-149.47203798432815,-209.7044859985724,-172.36576910170615,70.20884382674423,
14,-337.06054701039994,-97.38765703015385,-180.89575367116635,-128.98615414838295,97.44073275419592,
15,-303.4882780367459,-125.70165928069011,-187.69745852429912,-149.30757258295563,72.25704680581771,
16,-287.41373332331597,-111.66968873104494,-172.9506217007701,-134.99335486325216,71.42984010670519,
17,-297.34460326924676,-88.81996155371829,-161.49919400781462,-116.43713133112576,84.76142325099423,
18,-299.73913536828616,-84.46299251130044,-159.48975604681812,-113.01678321393172,87.50360091301604,
19,-388.1331385703623,-47.90665996217083,-166.50887749638306,-93.61264750695499,138.22273426024907,
20,-407.1878615038354,-113.99390343620621,-216.19664188037618,-152.52871332202886,119.20652317999286,
21,-347.0007494622202,-155.27025437093184,-222.13003301537026,-180.62640467063136,77.93940591899191,
22,-338.2906511202638,-141.47225964127324,-210.0908722282286,-167.37004374585229,80.01781778250508,
23,-297.549941949292,-139.60420512034108,-194.6701099823279,-160.48016115705929,64.20654815324698,
24,-285.55240593224386,-108.23951232992127,-170.042719157167,-131.84551122253404,72.06086296127555,
25,-267.1430313872716,-106.8810334691228,-162.74480957115102,-128.09369406492684,65.14328292529369,
26,-322.4702460181671,-61.28037633402565,-152.33008061861833,-96.24631769296278,106.12744569147219,
27,-379.1407267285079,-65.69626379145821,-174.96517960793975,-106.73789354963891,127.46023983477853,
28,-319.0556625938836,-154.72197757525555,-212.00578457497156,-176.43256517891118,66.80240461480865,
29,-303.5781603223339,-118.65431979891704,-183.13215375751912,-143.2319582074745,75.15851029582286,
30,-283.0081782790782,-120.79383992324688,-177.33278162512872,-142.42540124192567,65.92007991542613,
31,-276.69260471275436,-101.19474099742301,-162.37618618684908,-124.40207920154012,71.33708887312307,
32,-293.6848163716716,-83.94271716801072,-157.0394625463817,-111.84325472542693,85.2411360002404,
