,min,max,mean,med,std,label
0,-323.0897990871504,-223.68524293715114,-288.4741763133015,-310.0037108674953,40.41458298611457,
1,-185.678512577969,-145.1990676297555,-159.32140053958372,-150.75396969340525,16.43347637598811,
2,-202.33130492135626,-61.333342043250205,-110.49423804126121,-79.93331680274271,57.32182249445246,
3,-501.6312690900247,107.90171538199448,-104.51215776395429,25.804381743413394,247.61604970618512,
4,-474.05420389601704,-127.70994997801523,-248.42449656754712,-172.69054640104497,140.87665703005453,
5,-305.86058712527563,-199.12482367635133,-268.6896985971572,-291.94806830224985,43.41007137591031,
6,-192.0443256869705,-115.10807349023156,-141.93910606651278,-125.45380775524157,31.25615962832794,
7,-209.3324916416086,-65.33008994458439,-115.53451816995633,-84.64013931399563,58.509140004916745,
8,-570.107047593647,172.90381000315628,-86.01605244316514,73.6978109762859,301.9409099133976,
9,-409.0141759463439,-196.67537226285975,-270.7004795715049,-223.87020584088287,86.41319644110015,
10,-252.10008695239884,-204.04349327697506,-235.3673799400131,-245.9286080870019,19.555507907688632,
11,-194.39989996367643,-161.06121591590215,-172.69671862751136,-165.77924901449356,13.521651628128938,
12,-200.97011538978958,-75.31142363090899,-119.10844454473853,-92.05792766167968,51.06676216763285,
13,-383.55690517135656,13.236734664257435,-125.12985750840073,-40.72709744145078,161.12874657205433,
14,-615.4468720793776,18.975532643707584,-202.12237227778311,-64.2001062555368,257.96960255096326,
15,-382.2356737569762,-228.12473049394055,-328.5478421711104,-362.0643274885784,62.66987262696292,
16,-196.06155709614586,-151.07009300315332,-166.76679734087477,-157.1709449304006,18.273499553297277,
17,-212.5612995914378,-74.68023955888634,-122.74364502481096,-93.04077165092255,56.03511852850307,
18,-452.99408041004335,47.633999760316314,-126.8659855388549,-20.201078123213144,203.32494309869747,
19,-597.3636290453287,-19.92606702895441,-221.16972152109264,-95.3028179082868,234.8377015797215,
20,-363.12550776894113,-215.07511914331934,-311.5446198974893,-343.6595267323551,60.19074285097838,
21,-200.94556370703987,-130.94869138338532,-155.36411492404577,-140.37875443168696,28.435522509947237,
22,-390.54016620355134,22.302495667089573,-121.616369470335,-33.76621777594196,167.65831429433987,
23,-526.112584115234,-40.64861477242473,-209.84514324477698,-104.03328921635709,197.42826714855767,
24,-331.11831058105645,-217.3439973060841,-291.47810710029114,-316.3356864156207,46.28057171225453,
25,-186.26194806363998,-138.6676245647891,-155.25193680317122,-145.1028007996892,19.332365200802872,
26,-209.92070583330545,-63.09795180323229,-114.28525712042588,-82.7178602095312,59.66191323745765,
27,-559.9895490396389,160.57825234166634,-90.51092474821333,63.94236383844799,292.77452202494175,
28,-437.10590681684954,-179.34051647748777,-269.16389618186554,-212.42339797491266,104.8911926208848,
29,-265.29414765497364,-218.66741348407828,-249.06122364316238,-259.3122704044064,18.988547817370858,
30,-221.4720104896648,-110.02786153329198,-148.8773238370299,-125.06080255650956,45.27139229621544,
31,-220.10528758667056,-76.75563742125665,-126.71850041199838,-95.74286093987375,58.268206288207715,
32,-614.6387208396266,194.86224502750602,-87.25080488071352,87.0263263435609,328.98764996934494,
33,-339.38261589411354,-308.0605480141305,-328.49512112957655,-335.0135091680236,12.715720239308636,
34,-227.78226335289384,-194.48170729879246,-206.10043356887525,-199.15154530721827,13.509834161738791,
35,-221.33547173351266,-101.79007083373362,-143.4689603746054,-117.77815066619362,48.57563096818142,
36,-331.2384074294447,-28.17254709372184,-133.8561850656996,-69.39017064631949,123.06956933159397,
37,-581.1561813869821,43.39943247458765,-174.27577534541297,-38.372256470382844,253.9707262796748,
38,-340.36482126228,-240.0140560902424,-305.40723203267135,-327.1159488348907,40.79588662846769,
39,-200.0733599996158,-144.36317165345727,-163.78930931272643,-151.93278906040916,22.624368581046205,
40,-195.38064597201029,-84.95102374385262,-123.44451780326024,-99.7319990911545,44.870499148863544,
41,-460.14843825019426,80.95049258177028,-107.61941329152714,8.112225476478699,219.81963707393595,
42,-506.24272887133907,-80.59604581974719,-228.93735273417744,-135.91327501365106,173.13100340193574,
43,-299.18071881555545,-227.5733476432848,-274.25060470313264,-289.88033373182515,29.126424206656964,
44,-206.862164832566,-124.09045235437901,-152.94730904593433,-135.28554634436904,33.619753631042116,
45,-217.92829473363793,-66.89033554338258,-119.53621293423465,-86.97257263346019,61.387043183115054,
46,-603.7830959304146,185.53708562089167,-89.5503337987783,80.39828568763267,320.78528388305466,
47,-399.0017137958989,-235.4529990770541,-292.46247973928894,-256.6668269844937,66.6305932505942,
48,-251.4836322559508,-196.71025556966984,-232.3998028319794,-244.32147658230275,22.273187907242505,
49,-197.10736322465795,-91.85886674376623,-128.55156278949244,-106.22581435248388,42.73524894496375,
50,-185.73877260397092,-87.24960026011023,-121.6187260793019,-100.30286861016415,40.029007088250424,
51,-622.389795082666,222.7599678728781,-71.76849459736066,111.213375201355,343.5835363736783,
52,-315.01244497448283,-291.41598142610724,-306.81498789096287,-310.67645600123143,9.493578329044865,
53,-303.46420300450995,-113.90911093760863,-179.98036774280484,-139.0161099772282,77.05334127135332,
54,-181.36145905730075,-177.3759294859317,-179.99183938710678,-180.76143237686625,1.6608688444671584,
55,-444.674260712984,29.72504170281249,-135.72371836838784,-35.52385752589861,192.56736240077348,
56,-406.69894281543236,-213.87640235639213,-281.16134443274547,-239.36337665513008,78.61562272426313,
57,-239.90467075618483,-231.83461324295837,-237.10559362143334,-238.83981356702208,3.2781205337981945,
58,-556.4061529705014,169.62397535741889,-83.35201644114503,74.19476179693058,295.2150683992169,
59,-267.4605640682696,-209.46864377205924,-247.25015704317093,-259.8859449383668,23.631584507976527,
60,-481.7834488172077,125.11395504680048,-86.30962217517141,45.204346856065975,246.7607993569908,
61,-211.25514349984098,-191.67511032007718,-198.48845403126143,-194.77628177882264,7.917489696220504,
62,-147.6672027450473,-128.97243798366128,-135.4942495322425,-131.58656652053318,7.5865696868455705,
63,-764.1782952692706,391.97772436869155,-10.871228052564437,238.90964085163364,469.9837794543215,
64,-407.766036532601,-247.38403314315934,-351.90214171363476,-387.1007951531737,65.25697911035962,
65,-320.80551859543317,-44.53185937337254,-140.7988369783077,-79.92882409175246,112.44336889749465,
66,-531.7871165973061,86.67157325604242,-128.873505195166,4.763942491854818,251.39271016007376,
67,-338.2066993474506,-235.66706755988866,-271.41703833698597,-248.90976898084415,41.757977483728006,
68,-252.45487434404856,-175.1358106468469,-202.09822518235424,-185.57135689905235,31.409138632339072,
69,-232.7473502281181,-107.1672620565772,-150.9470288563599,-123.77462077716831,51.048833311836134,
70,-252.31689428425577,-78.06210970099191,-138.81695358328355,-101.34117310714123,70.80894897073229,
71,-559.8798779254015,106.19939230811717,-125.93613811340558,18.199117035724868,270.772762582646,
72,-303.1052654484809,-280.02257773680157,-288.10010885711154,-283.1287802254466,9.412033600059203,
73,-225.8523294255477,-180.96564326474075,-196.62322754026724,-187.17156342064783,18.218628368971245,
74,-232.6616413745208,-96.33310800627133,-143.85936855321765,-114.4831520254443,55.40294812800627,
75,-293.998027748207,-54.58003566741901,-138.05363864408577,-86.76605378443467,97.26528380555648,
76,-567.1655623206759,70.89917712841165,-151.4650420106349,-13.047400610899446,259.42233768267346,
77,-311.3806019974049,-291.98880965931124,-298.76630071277043,-295.05823874941444,8.043029050255518,
78,-208.76440832118288,-157.6145740667954,-190.9575069695545,-202.13683595858265,20.80521259620398,
79,-187.67193543508012,-65.68312874678809,-108.21587592806522,-81.91660290645251,49.576955021668944,
80,-222.6598984889388,-39.235240033706866,-103.19033376493047,-63.708281377404276,74.53863166837445,
81,-617.1913205606731,181.77958946930357,-96.68238764020009,76.27875096549988,324.8016297921962,
82,-338.26368415791814,-274.8372084877839,-316.2103722360833,-329.5435699582187,25.752342121484467,
83,-208.26424327837196,-180.57824263143135,-190.24288194757838,-184.44622218394676,11.231058701374403,
84,-211.77719590376896,-83.05714250051429,-127.92159074793565,-100.18886372256326,52.31283551309903,
85,-242.66626769396953,-62.16034381038002,-125.10298420385143,-86.43084279094424,73.33081445391124,
86,-561.9219749820784,106.36927608421367,-126.54592797857241,18.3649722541189,271.70244425760086,
87,-304.21933629288213,-262.06980206824306,-289.54479046353475,-298.4955282956879,17.12023738457636,
88,-180.9022753286108,-111.54963710935058,-135.72503623730017,-120.75728057965756,28.18767002229755,
89,-348.1050355657071,-3.4680007862698794,-123.63610836575036,-50.448760205632965,139.93757195790192,
90,-595.0421384638597,32.07981147629979,-186.4810244889813,-50.08331393114578,255.0082795032336,
91,-367.3725545030403,-238.29387253044428,-322.4214584894478,-350.6704754726617,52.51479522171046,
92,-201.79060029117366,-151.04361321851403,-168.75741992395842,-157.97998387587035,20.60544375604841,
93,-213.80344597868375,-73.29169068111455,-122.26858407072832,-92.04107956967789,57.10046887645084,
94,-551.9259156350888,124.38424814807568,-111.29304747453986,33.35055144094795,274.7521599922459,
95,-497.45576211566635,-147.24790480407208,-269.3010399989937,-192.27200169638627,142.49913472040075,
96,-314.9261183636001,-210.70213804319636,-278.6122778607942,-301.5050544350389,42.405178343634674,
97,-187.13668247159552,-123.9301350170145,-145.9659271396318,-132.36569543151768,25.68550630960505,
98,-218.22337433462388,-52.025382130749136,-109.96608147679703,-74.1791694528128,67.53954476584353,
