,min,max,mean,med,std,label
0,0.17927605753344733,0.9346817800558204,0.44267348556855385,0.28123755278842366,0.30684246895030526,
1,-0.5341198024255761,2.3354176343691195,0.465980376516714,-0.1542400362144161,1.1664262397533225,
2,0.7525102978550069,1.940157470633249,1.1665053024564902,0.9086055208745261,0.48287532664603705,
3,0.9322698940042631,1.4560496905922113,1.1149016021894909,1.0017955937175054,0.21288655888315575,
4,0.6546191548471058,1.2879681023619205,0.8754207294452853,0.7388033734840267,0.25741144071441435,
5,0.602475680380675,1.044871900279857,0.7567122628924606,0.6609109364039634,0.17984045575498256,
6,0.438795631595692,0.9487029024297464,0.6165508896036254,0.5065561431256941,0.20724326024601636,
7,0.3891938305193898,0.8517317508804447,0.550428326802372,0.45060697794001786,0.1879949151514451,
8,0.31121199188269355,0.8293900673119108,0.49184281758819515,0.38004972257180814,0.21060458575876367,
9,0.31364072510153557,0.7753791672981114,0.4746087027520586,0.3749445768412631,0.18766822289405408,
10,-0.10514495788280159,1.4515575897127801,0.43749787886675157,0.104826343853692,0.6323527869759858,
11,-0.5644433623909408,2.292359274773887,0.43120950831709964,-0.18476559370852935,1.1610896941164488,
12,0.6471942416202878,2.0583791628617565,1.1390819814292736,0.8325750815364503,0.5737720406909533,
13,0.9748535525425795,1.5215895846194507,1.1654826688781657,1.0472376539071164,0.2222366776072017,
14,0.6981725337357428,1.3178027323904844,0.9141816546122578,0.7806124606451463,0.2518280722952826,
15,0.6131334628852393,1.0851385207422513,0.7776843264030608,0.6754556917666368,0.19187972986337845,
16,0.4618194186322667,0.9633689724771322,0.6366677327233796,0.5283205845707378,0.2038613038377751,
17,0.3812266926997539,0.8904180859462746,0.5587214093675537,0.4488488685428391,0.2069550559045142,
18,0.32964336191408117,0.840660959104551,0.5077809011429535,0.39745437995657634,0.2077042724557063,
19,0.3295407511293264,0.7680154030297814,0.4824021176744219,0.3878401779408685,0.1782044192461188,
20,0.1930419058855431,0.9397360257389707,0.45339814287951313,0.29353728481706376,0.3033353301918848,
21,-0.57137828688105,2.3994148215132594,0.4639678263685518,-0.1771530213118085,1.2074869975797795,
22,-0.04988486356551259,2.1919697102371085,0.7314648491402743,0.24534792666895905,0.9114470011828729,
23,0.858607392096691,1.6770396760168866,1.1439173068514914,0.9664497568339041,0.33273123845449676,
24,0.7832138018063839,1.3658753654759268,0.9863609554451074,0.8605910954052899,0.23681602360506335,
25,0.5658876942241278,1.2453691753838032,0.8027389011133692,0.6557507317617911,0.2762112066405251,
26,0.5426619785751482,1.050407930039024,0.7196651943778302,0.6101115942603593,0.20636555492067657,
