min,max,mean,med,std,label
-269.6338478282061,-102.31725905125386,-160.6517219240825,-124.43654495343841,68.01349103632259,AF
-284.6322666611695,-74.2468220443567,-147.57849406416526,-102.22156202501499,85.50546874671895,AF
-613.3100717530856,143.92093786485114,-119.97829216490852,43.5115879950875,307.7939975437138,N
-342.148121686272,-305.5327040082624,-318.3135889616227,-310.39294047131915,14.876486256223302,AF
-243.3178725169482,-206.55234940855092,-219.3784008360182,-211.47972361372933,14.937425881414352,AF
-389.94005304177455,8.322473320101606,-130.46617845291712,-44.27574223899429,161.90709032728398,AF
-273.76311700434087,-153.20616867654948,-195.21663193395588,-169.41346945166597,48.97994184685029,AF
-351.73383577981065,-52.899640007727726,-157.03804389100037,-93.16812964142878,121.39755162611219,AF
-264.8555727097394,-162.58554684811864,-198.2239333780269,-176.61801851037117,41.51806399005223,AF
-325.2476585826301,-84.63381027217417,-168.52550564374238,-117.22107519080109,97.7221982444082,AF
-299.0994064349987,-151.52205120196683,-202.99186289903892,-170.52847006226705,60.039907546342526,AF
-323.0474367303613,-80.96820123434857,-165.37143905259268,-113.81769296568187,98.31174067737065,AF
-361.23582650422134,-92.73015856978249,-186.30816250494144,-127.49960306713024,109.22761683310756,AF
-281.47537239047944,-150.1633381574478,-195.9248346714632,-167.4438361518396,53.38843685852416,AF
-197.6230120740802,-150.23520302046387,-166.76392407529468,-156.8980695861689,19.220254554580322,AF
-288.77792879042624,-37.07516854028503,-124.85343391982016,-70.90364393934776,102.25622131908536,AF
-485.2623565197696,21.399828654156615,-155.1832058079058,-44.68150189795987,206.05787814710536,AF
-299.3072943599116,-214.56896885747003,-244.11413155015487,-225.81317150604528,34.44325827479658,AF
-274.2659554097422,-139.53584090224024,-186.50664083582367,-157.53172702865126,54.748658096067906,AF
-282.7481787625802,-94.38325379769972,-160.03705583296602,-119.33708146991077,76.56549103447824,AF
-293.19681142103667,-88.87522597642554,-160.09529846145398,-115.93460809681221,83.05162584878109,AF
-282.5639179811309,-98.16187723384228,-162.4354671052379,-122.64912679984164,74.94914673931342,AF
-317.61057109726664,-72.55730520052363,-158.0138614250058,-105.83518547249264,99.51678415402745,AF
-312.0437338857648,-125.4011475819038,-190.5245360455397,-149.4596877212636,75.97057350648257,AF
-241.9823034914148,-154.7243777478916,-185.15525954879558,-166.01301479596054,35.497075534491174,AF
-196.83462993346646,-115.26976331129944,-143.70459532569558,-126.36434309783743,33.12453649584465,AF
-254.4212749303146,-41.66951182596613,-115.82464153851507,-69.87006157940354,86.4760682916181,AF
-393.03337767719927,-16.27706127098082,-147.6918316980912,-67.48198597323385,152.99547285475902,AF
-601.9640861847653,-28.65973734348716,-228.4759605103895,-102.8220393114998,233.22551362270917,AF
