min,max,mean,med,std,label
-148.46151418883994,-144.72572575439574,-147.17858426035988,-147.8866636530947,1.5567220333781082,AF
-176.95416244086866,-48.495161895953466,-93.31295350012122,-65.94793656845522,52.16812255753969,AF
-727.2013622749545,262.381721844482,-82.48862461123998,132.02092647509633,402.3218034585671,N
-426.8773163364718,-262.3892909273955,-369.5666836044711,-404.95198536615686,66.85251610338919,AF
-200.2853886549155,-169.71723901504828,-189.64231998680683,-196.25384294294383,12.42571839185933,AF
-157.5653090050821,-94.1567594778117,-116.2599177237779,-102.68458018583384,25.759265565514283,AF
-395.97239811460116,53.84746910324046,-102.99977846863173,-7.616078597803992,182.6343405081002,AF
-657.9453597422686,35.944099206302006,-205.8694438914309,-54.443036221561314,282.2160339901582,N
-365.2859322166228,-202.03197589894768,-308.39017111597286,-344.19930914683863,66.41643233221234,AF
-172.32916251252897,-137.0227876152467,-160.0483893583951,-167.8309176402124,14.372628340478904,AF
-711.701364376671,310.19211269733995,-45.952397089306565,175.18464741574815,415.4229560360048,N
-431.9764562173101,-218.0221902145884,-357.4369592466465,-403.35770210102714,86.94416246603541,AF
-188.58447979318194,-143.5584636533714,-172.9039310924337,-182.6890358987756,18.310053628698906,AF
-157.23825657965438,-70.83417610488374,-100.95333697994951,-82.46101083616358,35.10131054379384,AF
-170.599351520073,-50.94646977144409,-92.66220857269937,-66.98807775951346,48.61482208074436,AF
-804.6385557020774,337.37450153511867,-60.61789318724114,187.1000137530027,464.31346003499766,N
-453.2827386303415,-300.7193577651728,-400.15896439967383,-432.65297707148454,61.97760743969579,AF
-231.87402076381824,-170.13429758800885,-210.38259318513076,-223.65812619741772,25.089115338771173,AF
-463.9812365031082,58.74173678679527,-123.4514646912047,-12.749335081902366,212.23050429649442,AF
-653.2425987439368,242.7556148179873,-69.51138121401439,124.00665853647469,364.20408209113464,N
-365.9611769800216,-257.8808716634599,-328.33034623288324,-351.35442019064027,43.90694679386652,AF
-187.92308957902688,-175.9513760165829,-183.76592692901417,-186.3602596700551,4.868882676822193,AF
-467.8264520697544,76.36864034218752,-113.28662725756443,2.328548242160595,220.99299115170083,AF
-477.7241302536463,-99.50275163719023,-231.3263279645748,-147.82986188223353,153.93339014361868,AF
-306.92385007506283,-162.01605763042187,-256.44382106534334,-287.88903536046814,58.91665454711272,AF
-190.87534928271128,-98.80647219256224,-130.97665768488142,-112.0662218208098,37.30806395258504,AF
-569.9357131404705,134.60206110774516,-110.9330827308984,42.570522834428665,286.51835854760503,N
-337.8177736941487,-191.98728331128657,-286.9901046099695,-318.71540146517515,59.299292560390995,AF
-407.7286455827065,-5.393123693944119,-145.61996629492916,-60.51691443684506,163.34377898150453,AF
-250.38371369850253,-216.2302082733437,-238.52752016620326,-244.8241520090382,13.794829945610742,AF
