Time,II,PLETH
11:20:01.367,8.46,-168
11:20:01.367,8.46,7.76
11:20:01.367,-14.32,-76
11:20:01.367,-8.96,-75
11:20:01.367,-8.01,-74
11:20:01.367,-11.67,-74
11:20:01.367,-13.5,-74
11:20:01.367,-15.2,-73
11:20:01.367,11.75,-72
11:20:01.367,45.82,-71
11:20:01.367,-39.49,-72
11:20:01.367,-41.76,-71
11:20:01.367,-39.76,-70
11:20:01.367,163,1574
11:20:01.367,291.36,3796
11:20:01.414,267.72,4605
11:20:01.414,247.22,4738
11:20:01.414,224.18,4557
11:20:01.448,202.22,4245
11:20:01.448,182.64,3890
11:20:01.481,166.11,3535
11:20:01.515,149.83,3192
11:20:01.515,138.75,2876
11:20:01.548,133.12,2588
11:20:01.548,127.58,2326
11:20:01.596,115.23,2088
11:20:01.596,97.87,1874
11:20:01.633,87.41,1682
11:20:01.633,88.42,1507
11:20:01.681,141.31,1348
11:20:01.681,38.07,1208
11:20:01.715,26.99,1082
11:20:01.715,25.66,968
11:20:01.766,22.69,863
11:20:01.766,20.27,768
11:20:01.766,18.96,685
11:20:01.811,17.24,607
11:20:01.811,15.11,535
11:20:01.849,13.64,460
11:20:01.849,13.76,386
11:20:01.894,14.08,319
11:20:01.894,14.96,259
11:20:01.931,14.97,206
11:20:01.931,14.78,160
11:20:01.965,13.95,119
11:20:01.965,12.32,84
11:20:01.999,9.27,53
11:20:02.05,4.8,26
11:20:02.05,-0.94,4
11:20:02.05,-4.51,-12
11:20:02.101,-5.66,-26
11:20:02.101,-5.42,-35
11:20:02.151,-4.46,-40
11:20:02.151,-3.79,-43
11:20:02.151,-4.09,-44
11:20:02.201,-5.4,-44
11:20:02.201,-7.91,-44
11:20:02.251,-12.68,-45
11:20:02.251,-17.76,-46
11:20:02.251,-21.3,-46
11:20:02.3,-22.54,-45
11:20:02.3,-22.34,-44
11:20:02.351,-21.41,-43
11:20:02.351,-19.67,-43
11:20:02.351,-16.69,-45
11:20:02.401,-12.66,-47
11:20:02.401,-8.86,-48
11:20:02.451,-5.77,-49
11:20:02.451,-3.28,-50
11:20:02.451,-0.74,-51
11:20:02.501,2.73,-52
11:20:02.501,6.26,-54
11:20:02.549,12.72,-54
11:20:02.549,15.99,-56
11:20:02.549,12.78,-57
11:20:02.585,10.69,-58
11:20:02.634,10.81,-59
11:20:02.634,20.96,-59
11:20:02.634,86.05,-60
11:20:02.684,-22.64,-62
11:20:02.684,-16.52,-62
11:20:02.734,-15,-63
11:20:02.734,-13.7,-64
11:20:02.734,-12.37,-65
11:20:02.784,-11.26,-64
11:20:02.784,-10.57,-64
11:20:02.784,-9.32,-71
11:20:02.833,-8.09,-86
11:20:02.833,-6.91,-102
11:20:02.881,-4.91,-116
11:20:02.881,-1.65,-130
11:20:02.915,2.17,-142
11:20:02.915,5.59,-154
11:20:02.95,7.96,-164
11:20:02.95,8.78,-173
11:20:02.996,9.51,-178
11:20:02.996,9.93,-180
11:20:03.032,10.2,-180
11:20:03.032,11.23,-177
11:20:03.082,13.82,-171
11:20:03.082,18.22,-163
11:20:03.131,24.23,-155
11:20:03.131,29.2,-146
11:20:03.131,30.61,-139
11:20:03.181,29.59,-130
11:20:03.181,26.75,-122
11:20:03.226,22.66,-115
11:20:03.226,17.52,-107
11:20:03.226,13.36,-101
11:20:03.272,9.86,-96
11:20:03.272,8.12,-92
11:20:03.319,6.92,-88
11:20:03.319,6.27,-84
11:20:03.367,5.91,-81
11:20:03.367,5.44,-77
11:20:03.367,4.89,-76
11:20:03.413,4.26,-73
11:20:03.413,3.76,-71
11:20:03.46,4.03,-71
11:20:03.46,4.21,-69
11:20:03.507,5.22,-69
11:20:03.507,7.34,-68
11:20:03.507,7.24,-69
11:20:03.553,5.53,-70
11:20:03.553,3.93,-71
11:20:03.601,1.78,-72
11:20:03.601,45.22,-71
11:20:03.647,6.3,-69
11:20:03.647,-26.12,-69
11:20:03.647,-25.22,-68
11:20:03.694,-25.12,-68
11:20:03.694,-24.75,-68
11:20:03.731,-24.02,-69
11:20:03.731,-22.75,-71
11:20:03.765,-20.34,-75
11:20:03.765,-16.48,-86
11:20:03.8,-12.07,-101
