Time,II,PLETH
00:38:37.5,183.74,-93
00:38:37.5,61.91,-95
00:38:37.5,-79.22,-95
00:38:37.5,-88.39,-95
00:38:37.6,-78.39,-95
00:38:37.6,-67.56,-94
00:38:37.6,-64.06,-94
00:38:37.6,-59.08,-93
00:38:37.6,-56.05,-92
00:38:37.7,-50.69,-95
00:38:37.7,-47.38,-101
00:38:37.7,-43.59,-110
00:38:37.7,-36.51,-119
00:38:37.7,-22.26,-128
00:38:37.7,-3.54,-136
00:38:37.7,4.73,-141
00:38:37.8,9.14,-147
00:38:37.8,19.31,-151
00:38:37.8,28.79,-151
00:38:37.8,31.96,-149
00:38:37.9,29.58,-147
00:38:37.9,28.08,-148
00:38:37.9,35.66,-146
00:38:37.9,-27.55,-144
00:38:38,-253.95,-142
00:38:38,-260.71,-139
00:38:38,-237.93,-138
00:38:38,-32.77,-138
00:38:38,174.26,-137
00:38:38,278.2,-134
00:38:38.1,284.45,-130
00:38:38.1,264.15,-126
00:38:38.1,243.01,-125
00:38:38.1,226.74,-123
00:38:38.1,219.19,-120
00:38:38.1,201.28,-118
00:38:38.2,173.61,-117
00:38:38.2,129.66,-116
00:38:38.2,69.61,-116
00:38:38.2,4.51,-115
00:38:38.2,-64.63,-114
00:38:38.3,-111.93,-110
00:38:38.3,-138.3,-109
00:38:38.3,-157.5,-110
00:38:38.3,-162.97,-109
00:38:38.4,-157.94,-108
00:38:38.4,-150.75,-105
00:38:38.4,-138.74,-105
00:38:38.4,-123.62,-104
00:38:38.4,-104.09,-103
00:38:38.4,-81.55,-102
00:38:38.5,-63.92,-100
00:38:38.5,-50.39,-99
00:38:38.5,-46.76,-98
00:38:38.5,-40.26,-98
00:38:38.6,-34.75,-98
00:38:38.6,-26.55,-98
00:38:38.6,-13.63,-97
00:38:38.6,-5.41,-99
00:38:38.6,13.89,-99
00:38:38.6,112.12,-98
00:38:38.7,205.17,-97
00:38:38.7,96.62,-98
00:38:38.7,-71.69,-97
00:38:38.7,-90.92,-97
00:38:38.8,-75.41,-96
00:38:38.8,-53.54,-94
00:38:38.8,-34.58,-93
00:38:38.8,-23.28,-93
00:38:38.8,-19.85,-93
00:38:38.9,-17.93,-97
00:38:38.9,-13.88,-104
00:38:38.9,-9,-113
00:38:38.9,-3.68,-122
00:38:38.9,10.77,-130
00:38:38.9,32.73,-137
00:38:39,47,-144
00:38:39,61.37,-149
00:38:39,71.99,-149
00:38:39,70.73,-151
00:38:39,64.36,-152
00:38:39.1,54.87,-149
00:38:39.1,49.6,-147
00:38:39.1,48.22,-143
00:38:39.1,42.54,-140
00:38:39.1,33.42,-139
00:38:39.2,26.75,-137
00:38:39.2,21.89,-136
00:38:39.2,17.35,-136
00:38:39.2,4.42,-136
00:38:39.3,23.38,-133
00:38:39.3,152.21,-130
00:38:39.3,232.12,-127
00:38:39.3,36.88,-125
00:38:39.3,-114.58,-122
00:38:39.4,-109.33,-123
00:38:39.4,-100.81,-120
00:38:39.4,-86.73,-118
00:38:39.4,-76.91,-115
00:38:39.4,-73.85,-114
00:38:39.5,-70.56,-114
00:38:39.5,-67.62,-113
00:38:39.5,-63.52,-114
00:38:39.5,-54.18,-114
00:38:39.5,-38.96,-115
00:38:39.6,-24.07,-121
00:38:39.6,-12.39,-128
00:38:39.6,-3.7,-134
00:38:39.6,1.55,-139
00:38:39.6,12.39,-143
00:38:39.6,22.03,-144
00:38:39.7,26.3,-143
00:38:39.7,30.73,-140
00:38:39.7,38.67,-136
00:38:39.7,45.6,-134
00:38:39.8,45.27,-134
00:38:39.8,39.97,-133
00:38:39.8,33.83,-132
00:38:39.8,29.23,-130
00:38:39.8,28.12,-128
00:38:39.9,30.34,-124
00:38:39.9,22.72,-120
00:38:39.9,66.49,-118
00:38:39.9,192.36,-117
00:38:39.9,182.72,-116
00:38:40,31.06,-115
00:38:40,-95.97,-113
00:38:40,-85.75,-109
00:38:40,-83.93,-108
00:38:40,-80.76,-107
00:38:40.1,-76.94,-107
00:38:40.1,-72.91,-107
00:38:40.1,-67.43,-108
00:38:40.1,-60.19,-105
00:38:40.1,-45.21,-108
00:38:40.2,-26.93,-113
00:38:40.2,-9.12,-119
00:38:40.2,3.81,-127
00:38:40.2,17.29,-133
00:38:40.2,29.79,-139
00:38:40.2,31.9,-142
00:38:40.3,33.81,-142
00:38:40.3,31.51,-141
00:38:40.3,25.15,-140
00:38:40.3,17,-138
00:38:40.4,13.01,-135
00:38:40.4,8.58,-133
00:38:40.4,3.95,-132
00:38:40.4,3.49,-129
00:38:40.4,4.01,-127
00:38:40.5,3.72,-123
00:38:40.5,3.07,-120
00:38:40.5,0.49,-118
00:38:40.5,-8.25,-116
00:38:40.5,-21.22,-114
00:38:40.6,-26.26,-112
00:38:40.6,-31.48,-111
00:38:40.6,-37.91,-110
00:38:40.6,-25.62,-109
00:38:40.6,56.49,-107
00:38:40.6,159.37,-104
00:38:40.7,60.81,-101
00:38:40.7,-95.49,-101
00:38:40.7,-98.8,-102
00:38:40.7,-88.27,-101
00:38:40.8,-72.05,-101
00:38:40.8,-46.44,-99
00:38:40.8,-25.45,-97
00:38:40.8,-12.52,-97
00:38:40.8,-8.82,-96
00:38:40.9,-9.42,-97
00:38:40.9,-5.27,-102
00:38:40.9,2.72,-107
00:38:40.9,13.38,-112
00:38:40.9,29.84,-119
00:38:41,45.9,-127
00:38:41,47.36,-132
00:38:41,44.45,-137
00:38:41,42.97,-139
00:38:41,42.98,-136
00:38:41,41.38,-132
00:38:41.1,37.97,-129
00:38:41.1,35.24,-127
00:38:41.1,34.75,-127
00:38:41.1,31.42,-125
00:38:41.1,26.17,-125
00:38:41.2,20.35,-121
00:38:41.2,14,-120
00:38:41.2,7.04,-117
00:38:41.2,5.37,-114
00:38:41.2,6.47,-114
00:38:41.3,6.31,-112
00:38:41.3,-1.22,-113
00:38:41.3,34.71,-112
00:38:41.3,141.85,-109
00:38:41.4,181.55,-107
00:38:41.4,25.01,-102
00:38:41.4,-74.94,-101
00:38:41.4,-72.25,-99
00:38:41.4,-65.06,-99
00:38:41.4,-58.89,-98
00:38:41.5,-53.55,-96
00:38:41.5,-47.57,-96
00:38:41.5,-41.47,-95
00:38:41.5,-34.83,-95
00:38:41.5,-30.57,-97
00:38:41.6,-23.88,-100
